IUCN,SPEC,COU,Value
VULNERABLE_IND,REPTILE,SVK,4
TOT_KNOWN,REPTILE,ESP,92
ENDANGERED,REPTILE,ESP,10
CRITICAL,REPTILE,ESP,8
VULNERABLE,REPTILE,ESP,16
THREATENED,REPTILE,ESP,34
ENDANGERED_IND,REPTILE,ESP,10
CRITICAL_IND,REPTILE,ESP,8
VULNERABLE_IND,REPTILE,ESP,16
TOT_KNOWN,REPTILE,SWE,6
TOT_KNOWN_IND,REPTILE,SWE,6
VULNERABLE,REPTILE,SWE,2
THREATENED,REPTILE,SWE,2
VULNERABLE_IND,REPTILE,SWE,2
TOT_KNOWN,REPTILE,CHE,19
TOT_KNOWN_IND,REPTILE,CHE,19
ENDANGERED,REPTILE,CHE,7
CRITICAL,REPTILE,CHE,3
VULNERABLE,REPTILE,CHE,5
THREATENED,REPTILE,CHE,15
ENDANGERED_IND,REPTILE,CHE,7
CRITICAL_IND,REPTILE,CHE,3
VULNERABLE_IND,REPTILE,CHE,5
TOT_KNOWN,REPTILE,GBR,15
TOT_KNOWN,REPTILE,USA,345
TOT_KNOWN_IND,REPTILE,USA,301
ENDANGERED,REPTILE,USA,20
CRITICAL,REPTILE,USA,8
VULNERABLE,REPTILE,USA,34
THREATENED,REPTILE,USA,62
ENDANGERED_IND,REPTILE,USA,20
CRITICAL_IND,REPTILE,USA,8
VULNERABLE_IND,REPTILE,USA,33
TOT_KNOWN,REPTILE,CHL,131
TOT_KNOWN_IND,REPTILE,CHL,122
ENDANGERED,REPTILE,CHL,17
VULNERABLE,REPTILE,CHL,25
THREATENED,REPTILE,CHL,52
ENDANGERED_IND,REPTILE,CHL,17
VULNERABLE_IND,REPTILE,CHL,25
TOT_KNOWN,REPTILE,EST,2
TOT_KNOWN_IND,REPTILE,EST,2
VULNERABLE,REPTILE,EST,1
THREATENED,REPTILE,EST,1
VULNERABLE_IND,REPTILE,EST,1
TOT_KNOWN_IND,REPTILE,ISR,105
ENDANGERED_IND,REPTILE,ISR,7
CRITICAL_IND,REPTILE,ISR,13
VULNERABLE_IND,REPTILE,ISR,15
TOT_KNOWN,REPTILE,RUS,75
THREATENED,REPTILE,RUS,9
TOT_KNOWN,REPTILE,SVN,24
TOT_KNOWN_IND,REPTILE,SVN,24
ENDANGERED,REPTILE,SVN,7
VULNERABLE,REPTILE,SVN,11
THREATENED,REPTILE,SVN,18
ENDANGERED_IND,REPTILE,SVN,7
VULNERABLE_IND,REPTILE,SVN,11
TOT_KNOWN,AMPHIBIAN,AUS,242
ENDANGERED,AMPHIBIAN,AUS,14
CRITICAL,AMPHIBIAN,AUS,5
VULNERABLE,AMPHIBIAN,AUS,10
THREATENED,AMPHIBIAN,AUS,29
TOT_KNOWN,AMPHIBIAN,AUT,20
TOT_KNOWN_IND,AMPHIBIAN,AUT,20
ENDANGERED,AMPHIBIAN,AUT,3
CRITICAL,AMPHIBIAN,AUT,1
VULNERABLE,AMPHIBIAN,AUT,8
THREATENED,AMPHIBIAN,AUT,12
ENDANGERED_IND,AMPHIBIAN,AUT,3
CRITICAL_IND,AMPHIBIAN,AUT,1
VULNERABLE_IND,AMPHIBIAN,AUT,8
TOT_KNOWN,AMPHIBIAN,BEL,19
TOT_KNOWN_IND,AMPHIBIAN,BEL,16
ENDANGERED,AMPHIBIAN,BEL,3
CRITICAL,AMPHIBIAN,BEL,3
THREATENED,AMPHIBIAN,BEL,6
ENDANGERED_IND,AMPHIBIAN,BEL,3
CRITICAL_IND,AMPHIBIAN,BEL,3
TOT_KNOWN,AMPHIBIAN,CAN,47
TOT_KNOWN_IND,AMPHIBIAN,CAN,47
ENDANGERED,AMPHIBIAN,CAN,5
VULNERABLE,AMPHIBIAN,CAN,9
THREATENED,AMPHIBIAN,CAN,16
ENDANGERED_IND,AMPHIBIAN,CAN,5
VULNERABLE_IND,AMPHIBIAN,CAN,9
TOT_KNOWN,AMPHIBIAN,CZE,22
TOT_KNOWN_IND,AMPHIBIAN,CZE,21
ENDANGERED,AMPHIBIAN,CZE,5
CRITICAL,AMPHIBIAN,CZE,5
VULNERABLE,AMPHIBIAN,CZE,6
THREATENED,AMPHIBIAN,CZE,16
TOT_KNOWN,AMPHIBIAN,DNK,15
TOT_KNOWN_IND,AMPHIBIAN,DNK,15
CRITICAL,AMPHIBIAN,DNK,1
THREATENED,AMPHIBIAN,DNK,1
CRITICAL_IND,AMPHIBIAN,DNK,1
TOT_KNOWN,AMPHIBIAN,FIN,7
TOT_KNOWN_IND,AMPHIBIAN,FIN,7
VULNERABLE,AMPHIBIAN,FIN,0
THREATENED,AMPHIBIAN,FIN,1
VULNERABLE_IND,AMPHIBIAN,FIN,0
TOT_KNOWN,AMPHIBIAN,FRA,35
ENDANGERED,AMPHIBIAN,FRA,3
CRITICAL,AMPHIBIAN,FRA,0
VULNERABLE,AMPHIBIAN,FRA,5
THREATENED,AMPHIBIAN,FRA,8
TOT_KNOWN,AMPHIBIAN,DEU,22
TOT_KNOWN_IND,AMPHIBIAN,DEU,20
ENDANGERED,AMPHIBIAN,DEU,2
VULNERABLE,AMPHIBIAN,DEU,6
THREATENED,AMPHIBIAN,DEU,8
ENDANGERED_IND,AMPHIBIAN,DEU,2
VULNERABLE_IND,AMPHIBIAN,DEU,6
TOT_KNOWN,AMPHIBIAN,GRC,23
TOT_KNOWN_IND,AMPHIBIAN,GRC,22
ENDANGERED,AMPHIBIAN,GRC,2
CRITICAL,AMPHIBIAN,GRC,1
VULNERABLE,AMPHIBIAN,GRC,3
THREATENED,AMPHIBIAN,GRC,6
ENDANGERED_IND,AMPHIBIAN,GRC,2
CRITICAL_IND,AMPHIBIAN,GRC,1
VULNERABLE_IND,AMPHIBIAN,GRC,3
TOT_KNOWN,AMPHIBIAN,HUN,18
TOT_KNOWN_IND,AMPHIBIAN,HUN,18
ENDANGERED,AMPHIBIAN,HUN,1
VULNERABLE,AMPHIBIAN,HUN,1
THREATENED,AMPHIBIAN,HUN,2
ENDANGERED_IND,AMPHIBIAN,HUN,1
VULNERABLE_IND,AMPHIBIAN,HUN,1
TOT_KNOWN,AMPHIBIAN,IRL,3
TOT_KNOWN_IND,AMPHIBIAN,IRL,3
ENDANGERED,AMPHIBIAN,IRL,1
THREATENED,AMPHIBIAN,IRL,1
ENDANGERED_IND,AMPHIBIAN,IRL,1
TOT_KNOWN,AMPHIBIAN,ITA,44
ENDANGERED,AMPHIBIAN,ITA,4
CRITICAL,AMPHIBIAN,ITA,0
VULNERABLE,AMPHIBIAN,ITA,10
THREATENED,AMPHIBIAN,ITA,14
TOT_KNOWN,AMPHIBIAN,JPN,77
ENDANGERED,AMPHIBIAN,JPN,13
CRITICAL,AMPHIBIAN,JPN,4
VULNERABLE,AMPHIBIAN,JPN,12
THREATENED,AMPHIBIAN,JPN,29
TOT_KNOWN,AMPHIBIAN,KOR,20
ENDANGERED,AMPHIBIAN,KOR,2
VULNERABLE,AMPHIBIAN,KOR,3
THREATENED,AMPHIBIAN,KOR,5
TOT_KNOWN,AMPHIBIAN,LUX,14
ENDANGERED,AMPHIBIAN,LUX,1
CRITICAL,AMPHIBIAN,LUX,2
VULNERABLE,AMPHIBIAN,LUX,1
THREATENED,AMPHIBIAN,LUX,4
TOT_KNOWN,AMPHIBIAN,MEX,399
TOT_KNOWN_IND,AMPHIBIAN,MEX,258
ENDANGERED,AMPHIBIAN,MEX,7
CRITICAL,AMPHIBIAN,MEX,0
VULNERABLE,AMPHIBIAN,MEX,44
THREATENED,AMPHIBIAN,MEX,51
ENDANGERED_IND,AMPHIBIAN,MEX,6
CRITICAL_IND,AMPHIBIAN,MEX,0
VULNERABLE_IND,AMPHIBIAN,MEX,37
TOT_KNOWN,AMPHIBIAN,NLD,16
ENDANGERED,AMPHIBIAN,NLD,2
CRITICAL,AMPHIBIAN,NLD,2
VULNERABLE,AMPHIBIAN,NLD,3
THREATENED,AMPHIBIAN,NLD,7
TOT_KNOWN,AMPHIBIAN,NZL,8
TOT_KNOWN_IND,AMPHIBIAN,NZL,4
ENDANGERED_IND,AMPHIBIAN,NZL,0
CRITICAL_IND,AMPHIBIAN,NZL,0
VULNERABLE_IND,AMPHIBIAN,NZL,1
TOT_KNOWN,AMPHIBIAN,NOR,6
TOT_KNOWN_IND,AMPHIBIAN,NOR,6
CRITICAL,AMPHIBIAN,NOR,1
THREATENED,AMPHIBIAN,NOR,1
CRITICAL_IND,AMPHIBIAN,NOR,1
TOT_KNOWN,AMPHIBIAN,POL,18
TOT_KNOWN_IND,AMPHIBIAN,POL,18
TOT_KNOWN,AMPHIBIAN,PRT,20
TOT_KNOWN_IND,AMPHIBIAN,PRT,17
VULNERABLE,AMPHIBIAN,PRT,2
THREATENED,AMPHIBIAN,PRT,2
VULNERABLE_IND,AMPHIBIAN,PRT,2
TOT_KNOWN,AMPHIBIAN,SVK,18
TOT_KNOWN_IND,AMPHIBIAN,SVK,18
ENDANGERED,AMPHIBIAN,SVK,3
VULNERABLE,AMPHIBIAN,SVK,5
THREATENED,AMPHIBIAN,SVK,8
ENDANGERED_IND,AMPHIBIAN,SVK,3
VULNERABLE_IND,AMPHIBIAN,SVK,5
TOT_KNOWN,AMPHIBIAN,ESP,36
ENDANGERED,AMPHIBIAN,ESP,4
CRITICAL,AMPHIBIAN,ESP,2
VULNERABLE,AMPHIBIAN,ESP,8
THREATENED,AMPHIBIAN,ESP,14
ENDANGERED_IND,AMPHIBIAN,ESP,4
CRITICAL_IND,AMPHIBIAN,ESP,2
VULNERABLE_IND,AMPHIBIAN,ESP,8
TOT_KNOWN,AMPHIBIAN,SWE,13
TOT_KNOWN_IND,AMPHIBIAN,SWE,13
ENDANGERED,AMPHIBIAN,SWE,0
VULNERABLE,AMPHIBIAN,SWE,5
THREATENED,AMPHIBIAN,SWE,5
ENDANGERED_IND,AMPHIBIAN,SWE,0
VULNERABLE_IND,AMPHIBIAN,SWE,5
TOT_KNOWN,AMPHIBIAN,CHE,19
TOT_KNOWN_IND,AMPHIBIAN,CHE,18
ENDANGERED,AMPHIBIAN,CHE,9
CRITICAL,AMPHIBIAN,CHE,0
VULNERABLE,AMPHIBIAN,CHE,4
THREATENED,AMPHIBIAN,CHE,13
ENDANGERED_IND,AMPHIBIAN,CHE,9
CRITICAL_IND,AMPHIBIAN,CHE,0
VULNERABLE_IND,AMPHIBIAN,CHE,4
TOT_KNOWN,AMPHIBIAN,TUR,141
THREATENED,AMPHIBIAN,TUR,10
TOT_KNOWN,AMPHIBIAN,GBR,15
TOT_KNOWN,AMPHIBIAN,USA,270
TOT_KNOWN_IND,AMPHIBIAN,USA,260
ENDANGERED,AMPHIBIAN,USA,36
CRITICAL,AMPHIBIAN,USA,31
VULNERABLE,AMPHIBIAN,USA,42
THREATENED,AMPHIBIAN,USA,109
ENDANGERED_IND,AMPHIBIAN,USA,36
CRITICAL_IND,AMPHIBIAN,USA,31
VULNERABLE_IND,AMPHIBIAN,USA,42
TOT_KNOWN,AMPHIBIAN,CHL,65
TOT_KNOWN_IND,AMPHIBIAN,CHL,64
ENDANGERED,AMPHIBIAN,CHL,23
VULNERABLE,AMPHIBIAN,CHL,11
THREATENED,AMPHIBIAN,CHL,44
ENDANGERED_IND,AMPHIBIAN,CHL,23
VULNERABLE_IND,AMPHIBIAN,CHL,11
TOT_KNOWN,AMPHIBIAN,EST,9
TOT_KNOWN_IND,AMPHIBIAN,EST,8
ENDANGERED,AMPHIBIAN,EST,1
CRITICAL,AMPHIBIAN,EST,1
VULNERABLE,AMPHIBIAN,EST,2
THREATENED,AMPHIBIAN,EST,4
ENDANGERED_IND,AMPHIBIAN,EST,1
CRITICAL_IND,AMPHIBIAN,EST,1
VULNERABLE_IND,AMPHIBIAN,EST,2
TOT_KNOWN,AMPHIBIAN,RUS,27
THREATENED,AMPHIBIAN,RUS,5
TOT_KNOWN,AMPHIBIAN,SVN,21
TOT_KNOWN_IND,AMPHIBIAN,SVN,21
ENDANGERED,AMPHIBIAN,SVN,3
VULNERABLE,AMPHIBIAN,SVN,14
THREATENED,AMPHIBIAN,SVN,17
ENDANGERED_IND,AMPHIBIAN,SVN,3
VULNERABLE_IND,AMPHIBIAN,SVN,14
TOT_KNOWN,VASCULAR_PLANT,AUS,19178
TOT_KNOWN_IND,VASCULAR_PLANT,AUS,17883
ENDANGERED,VASCULAR_PLANT,AUS,527
CRITICAL,VASCULAR_PLANT,AUS,148
VULNERABLE,VASCULAR_PLANT,AUS,587
THREATENED,VASCULAR_PLANT,AUS,1262
TOT_KNOWN,VASCULAR_PLANT,AUT,2950
TOT_KNOWN_IND,VASCULAR_PLANT,AUT,2950
ENDANGERED,VASCULAR_PLANT,AUT,348
CRITICAL,VASCULAR_PLANT,AUT,172
VULNERABLE,VASCULAR_PLANT,AUT,465
THREATENED,VASCULAR_PLANT,AUT,985
ENDANGERED_IND,VASCULAR_PLANT,AUT,348
CRITICAL_IND,VASCULAR_PLANT,AUT,172
VULNERABLE_IND,VASCULAR_PLANT,AUT,465
TOT_KNOWN,VASCULAR_PLANT,BEL,1818
TOT_KNOWN_IND,VASCULAR_PLANT,BEL,1438
ENDANGERED,VASCULAR_PLANT,BEL,107
CRITICAL,VASCULAR_PLANT,BEL,253
VULNERABLE,VASCULAR_PLANT,BEL,63
THREATENED,VASCULAR_PLANT,BEL,423
ENDANGERED_IND,VASCULAR_PLANT,BEL,107
CRITICAL_IND,VASCULAR_PLANT,BEL,253
VULNERABLE_IND,VASCULAR_PLANT,BEL,63
TOT_KNOWN,VASCULAR_PLANT,CAN,5185
TOT_KNOWN_IND,VASCULAR_PLANT,CAN,3870
ENDANGERED,VASCULAR_PLANT,CAN,325
VULNERABLE,VASCULAR_PLANT,CAN,467
THREATENED,VASCULAR_PLANT,CAN,1107
ENDANGERED_IND,VASCULAR_PLANT,CAN,325
VULNERABLE_IND,VASCULAR_PLANT,CAN,467
TOT_KNOWN,VASCULAR_PLANT,CZE,3557
TOT_KNOWN_IND,VASCULAR_PLANT,CZE,2256
ENDANGERED,VASCULAR_PLANT,CZE,412
CRITICAL,VASCULAR_PLANT,CZE,284
VULNERABLE,VASCULAR_PLANT,CZE,212
THREATENED,VASCULAR_PLANT,CZE,908
TOT_KNOWN,VASCULAR_PLANT,DNK,2909
TOT_KNOWN_IND,VASCULAR_PLANT,DNK,1200
ENDANGERED,VASCULAR_PLANT,DNK,36
CRITICAL,VASCULAR_PLANT,DNK,24
VULNERABLE,VASCULAR_PLANT,DNK,57
THREATENED,VASCULAR_PLANT,DNK,117
ENDANGERED_IND,VASCULAR_PLANT,DNK,36
CRITICAL_IND,VASCULAR_PLANT,DNK,24
VULNERABLE_IND,VASCULAR_PLANT,DNK,57
TOT_KNOWN,VASCULAR_PLANT,FIN,1240
TOT_KNOWN_IND,VASCULAR_PLANT,FIN,920
ENDANGERED,VASCULAR_PLANT,FIN,88
CRITICAL,VASCULAR_PLANT,FIN,31
VULNERABLE,VASCULAR_PLANT,FIN,78
THREATENED,VASCULAR_PLANT,FIN,197
ENDANGERED_IND,VASCULAR_PLANT,FIN,88
CRITICAL_IND,VASCULAR_PLANT,FIN,31
VULNERABLE_IND,VASCULAR_PLANT,FIN,78
TOT_KNOWN,VASCULAR_PLANT,FRA,1018
ENDANGERED,VASCULAR_PLANT,FRA,111
VULNERABLE,VASCULAR_PLANT,FRA,368
THREATENED,VASCULAR_PLANT,FRA,528
TOT_KNOWN,VASCULAR_PLANT,DEU,3272
TOT_KNOWN_IND,VASCULAR_PLANT,DEU,2954
ENDANGERED,VASCULAR_PLANT,DEU,273
CRITICAL,VASCULAR_PLANT,DEU,118
VULNERABLE,VASCULAR_PLANT,DEU,505
THREATENED,VASCULAR_PLANT,DEU,896
ENDANGERED_IND,VASCULAR_PLANT,DEU,273
CRITICAL_IND,VASCULAR_PLANT,DEU,118
VULNERABLE_IND,VASCULAR_PLANT,DEU,505
TOT_KNOWN,VASCULAR_PLANT,GRC,5850
TOT_KNOWN_IND,VASCULAR_PLANT,GRC,5700
ENDANGERED,VASCULAR_PLANT,GRC,64
CRITICAL,VASCULAR_PLANT,GRC,17
VULNERABLE,VASCULAR_PLANT,GRC,174
THREATENED,VASCULAR_PLANT,GRC,255
TOT_KNOWN,VASCULAR_PLANT,HUN,2721
TOT_KNOWN_IND,VASCULAR_PLANT,HUN,2433
ENDANGERED,VASCULAR_PLANT,HUN,162
VULNERABLE,VASCULAR_PLANT,HUN,105
THREATENED,VASCULAR_PLANT,HUN,382
ENDANGERED_IND,VASCULAR_PLANT,HUN,162
VULNERABLE_IND,VASCULAR_PLANT,HUN,105
TOT_KNOWN,VASCULAR_PLANT,ISL,438
THREATENED,VASCULAR_PLANT,ISL,52
TOT_KNOWN,VASCULAR_PLANT,IRL,1050
TOT_KNOWN_IND,VASCULAR_PLANT,IRL,1050
ENDANGERED,VASCULAR_PLANT,IRL,25
CRITICAL,VASCULAR_PLANT,IRL,20
VULNERABLE,VASCULAR_PLANT,IRL,56
THREATENED,VASCULAR_PLANT,IRL,101
ENDANGERED_IND,VASCULAR_PLANT,IRL,25
CRITICAL_IND,VASCULAR_PLANT,IRL,20
VULNERABLE_IND,VASCULAR_PLANT,IRL,56
TOT_KNOWN,VASCULAR_PLANT,ITA,8195
ENDANGERED,VASCULAR_PLANT,ITA,149
CRITICAL,VASCULAR_PLANT,ITA,128
VULNERABLE,VASCULAR_PLANT,ITA,276
THREATENED,VASCULAR_PLANT,ITA,553
TOT_KNOWN,VASCULAR_PLANT,JPN,7000
ENDANGERED,VASCULAR_PLANT,JPN,520
CRITICAL,VASCULAR_PLANT,JPN,525
VULNERABLE,VASCULAR_PLANT,JPN,741
THREATENED,VASCULAR_PLANT,JPN,1786
TOT_KNOWN,VASCULAR_PLANT,KOR,4518
ENDANGERED,VASCULAR_PLANT,KOR,86
CRITICAL,VASCULAR_PLANT,KOR,28
VULNERABLE,VASCULAR_PLANT,KOR,110
THREATENED,VASCULAR_PLANT,KOR,224
TOT_KNOWN,VASCULAR_PLANT,LUX,1323
TOT_KNOWN_IND,VASCULAR_PLANT,LUX,1205
ENDANGERED,VASCULAR_PLANT,LUX,124
CRITICAL,VASCULAR_PLANT,LUX,121
VULNERABLE,VASCULAR_PLANT,LUX,109
THREATENED,VASCULAR_PLANT,LUX,354
ENDANGERED_IND,VASCULAR_PLANT,LUX,124
CRITICAL_IND,VASCULAR_PLANT,LUX,121
VULNERABLE_IND,VASCULAR_PLANT,LUX,109
TOT_KNOWN,VASCULAR_PLANT,MEX,23296
TOT_KNOWN_IND,VASCULAR_PLANT,MEX,11551
ENDANGERED,VASCULAR_PLANT,MEX,175
CRITICAL,VASCULAR_PLANT,MEX,6
VULNERABLE,VASCULAR_PLANT,MEX,329
THREATENED,VASCULAR_PLANT,MEX,510
ENDANGERED_IND,VASCULAR_PLANT,MEX,105
CRITICAL_IND,VASCULAR_PLANT,MEX,5
VULNERABLE_IND,VASCULAR_PLANT,MEX,165
TOT_KNOWN,VASCULAR_PLANT,NLD,1395
ENDANGERED,VASCULAR_PLANT,NLD,117
CRITICAL,VASCULAR_PLANT,NLD,71
VULNERABLE,VASCULAR_PLANT,NLD,168
THREATENED,VASCULAR_PLANT,NLD,356
TOT_KNOWN,VASCULAR_PLANT,NZL,5038
TOT_KNOWN_IND,VASCULAR_PLANT,NZL,2485
ENDANGERED_IND,VASCULAR_PLANT,NZL,64
CRITICAL_IND,VASCULAR_PLANT,NZL,163
VULNERABLE_IND,VASCULAR_PLANT,NZL,101
TOT_KNOWN,VASCULAR_PLANT,NOR,3243
TOT_KNOWN_IND,VASCULAR_PLANT,NOR,1357
ENDANGERED,VASCULAR_PLANT,NOR,100
CRITICAL,VASCULAR_PLANT,NOR,35
VULNERABLE,VASCULAR_PLANT,NOR,111
THREATENED,VASCULAR_PLANT,NOR,246
ENDANGERED_IND,VASCULAR_PLANT,NOR,100
CRITICAL_IND,VASCULAR_PLANT,NOR,35
VULNERABLE_IND,VASCULAR_PLANT,NOR,111
TOT_KNOWN,VASCULAR_PLANT,POL,3087
TOT_KNOWN_IND,VASCULAR_PLANT,POL,2534
ENDANGERED,VASCULAR_PLANT,POL,139
CRITICAL,VASCULAR_PLANT,POL,123
VULNERABLE,VASCULAR_PLANT,POL,226
THREATENED,VASCULAR_PLANT,POL,488
ENDANGERED_IND,VASCULAR_PLANT,POL,123
CRITICAL_IND,VASCULAR_PLANT,POL,110
VULNERABLE_IND,VASCULAR_PLANT,POL,195
TOT_KNOWN,VASCULAR_PLANT,PRT,3607
TOT_KNOWN_IND,VASCULAR_PLANT,PRT,2927
TOT_KNOWN,VASCULAR_PLANT,SVK,3619
ENDANGERED,VASCULAR_PLANT,SVK,171
CRITICAL,VASCULAR_PLANT,SVK,155
VULNERABLE,VASCULAR_PLANT,SVK,201
THREATENED,VASCULAR_PLANT,SVK,527
TOT_KNOWN,VASCULAR_PLANT,ESP,7066
ENDANGERED,VASCULAR_PLANT,ESP,278
CRITICAL,VASCULAR_PLANT,ESP,271
VULNERABLE,VASCULAR_PLANT,ESP,714
THREATENED,VASCULAR_PLANT,ESP,1263
ENDANGERED_IND,VASCULAR_PLANT,ESP,278
CRITICAL_IND,VASCULAR_PLANT,ESP,271
VULNERABLE_IND,VASCULAR_PLANT,ESP,714
TOT_KNOWN,VASCULAR_PLANT,SWE,1561
TOT_KNOWN_IND,VASCULAR_PLANT,SWE,1561
ENDANGERED,VASCULAR_PLANT,SWE,114
CRITICAL,VASCULAR_PLANT,SWE,43
VULNERABLE,VASCULAR_PLANT,SWE,113
THREATENED,VASCULAR_PLANT,SWE,270
TOT_KNOWN,VASCULAR_PLANT,CHE,2613
TOT_KNOWN_IND,VASCULAR_PLANT,CHE,2613
ENDANGERED,VASCULAR_PLANT,CHE,197
CRITICAL,VASCULAR_PLANT,CHE,111
VULNERABLE,VASCULAR_PLANT,CHE,362
THREATENED,VASCULAR_PLANT,CHE,670
ENDANGERED_IND,VASCULAR_PLANT,CHE,197
CRITICAL_IND,VASCULAR_PLANT,CHE,111
VULNERABLE_IND,VASCULAR_PLANT,CHE,362
TOT_KNOWN,VASCULAR_PLANT,TUR,11707
THREATENED,VASCULAR_PLANT,TUR,1282
TOT_KNOWN,VASCULAR_PLANT,GBR,4562
ENDANGERED,VASCULAR_PLANT,GBR,240
CRITICAL,VASCULAR_PLANT,GBR,104
VULNERABLE,VASCULAR_PLANT,GBR,482
THREATENED,VASCULAR_PLANT,GBR,826
ENDANGERED_IND,VASCULAR_PLANT,GBR,240
CRITICAL_IND,VASCULAR_PLANT,GBR,104
VULNERABLE_IND,VASCULAR_PLANT,GBR,482
TOT_KNOWN,VASCULAR_PLANT,USA,19569
TOT_KNOWN_IND,VASCULAR_PLANT,USA,16279
ENDANGERED,VASCULAR_PLANT,USA,1462
CRITICAL,VASCULAR_PLANT,USA,1222
VULNERABLE,VASCULAR_PLANT,USA,2691
THREATENED,VASCULAR_PLANT,USA,5375
ENDANGERED_IND,VASCULAR_PLANT,USA,1461
CRITICAL_IND,VASCULAR_PLANT,USA,1221
VULNERABLE_IND,VASCULAR_PLANT,USA,2684
ENDANGERED,VASCULAR_PLANT,CHL,195
VULNERABLE,VASCULAR_PLANT,CHL,152
THREATENED,VASCULAR_PLANT,CHL,418
ENDANGERED_IND,VASCULAR_PLANT,CHL,195
VULNERABLE_IND,VASCULAR_PLANT,CHL,152
TOT_KNOWN,VASCULAR_PLANT,EST,1928
TOT_KNOWN_IND,VASCULAR_PLANT,EST,1335
ENDANGERED,VASCULAR_PLANT,EST,59
CRITICAL,VASCULAR_PLANT,EST,31
VULNERABLE,VASCULAR_PLANT,EST,91
THREATENED,VASCULAR_PLANT,EST,181
ENDANGERED_IND,VASCULAR_PLANT,EST,57
CRITICAL_IND,VASCULAR_PLANT,EST,31
VULNERABLE_IND,VASCULAR_PLANT,EST,90
TOT_KNOWN_IND,VASCULAR_PLANT,ISR,2288
ENDANGERED_IND,VASCULAR_PLANT,ISR,117
CRITICAL_IND,VASCULAR_PLANT,ISR,62
VULNERABLE_IND,VASCULAR_PLANT,ISR,198
TOT_KNOWN,VASCULAR_PLANT,RUS,11400
THREATENED,VASCULAR_PLANT,RUS,201
TOT_KNOWN,VASCULAR_PLANT,SVN,3452
TOT_KNOWN_IND,VASCULAR_PLANT,SVN,3119
ENDANGERED,VASCULAR_PLANT,SVN,80
VULNERABLE,VASCULAR_PLANT,SVN,254
THREATENED,VASCULAR_PLANT,SVN,334
ENDANGERED_IND,VASCULAR_PLANT,SVN,80
VULNERABLE_IND,VASCULAR_PLANT,SVN,254
TOT_KNOWN,FISH_TOT,AUS,5203
ENDANGERED,FISH_TOT,AUS,16
ENDANGERED,MARINE_F,AUS,2
ENDANGERED,FRESHW_F,AUS,14
CRITICAL,FISH_TOT,AUS,8
CRITICAL,MARINE_F,AUS,3
CRITICAL,FRESHW_F,AUS,5
VULNERABLE,FISH_TOT,AUS,24
VULNERABLE,MARINE_F,AUS,8
VULNERABLE,FRESHW_F,AUS,16
THREATENED,FISH_TOT,AUS,48
THREATENED,MARINE_F,AUS,13
THREATENED,FRESHW_F,AUS,35
THREAT_PERCENT,MAMMAL,AUS,27.114
THREAT_PERCENT,BIRD,AUS,16.835
THREAT_PERCENT,REPTILE,AUS,5.951
THREAT_PERCENT,AMPHIBIAN,AUS,11.983
